Abavas pagasts	Valgale	Valgale
Aglonas pagasts	Aglona	Aglona
Aiviekstes pagasts	Kriškalni	Kriškalni
Aizkalnes pagasts	Aizkalne	Aizkalne
Aizkraukles pagasts	Aizkraukle	Aizkraukle (ciems)
Aizputes pagasts	Rokasbirze	Rokasbirze
Aknīstes pagasts	Aknīste	Aknīste
Allažu pagasts	Allaži	Allaži
Alsviķu pagasts	Alsviķi	Alsviķi
Amatas pagasts	Ģikši	Ģikši
Ambeļu pagasts	Ambeļi	Ambeļi
Ances pagasts	Ance	Ance (ciems)
Andrupenes pagasts	Andrupene	Andrupene
Andzeļu pagasts	Andzeļi	Andzeļi
Annas pagasts	Anna	Anna (ciems)
Annenieku pagasts	Kaķenieki	Kaķenieki
Apes pagasts	Ape	Ape
Aronas pagasts	Kusa	Kusa
Asares pagasts	Asare	Asare
Asūnes pagasts	Asūne	Asūne
Atašienes pagasts	Atašiene	Atašiene
Audriņu pagasts	Audriņi	Audriņi
Augstkalnes pagasts	Augstkalne	Augstkalne (Augstkalnes pagasts)
Aulejas pagasts	Auleja	Auleja
Auru pagasts	Auri	Auri
Babītes pagasts	Piņķi	Piņķi
Baldones pagasts	Baldone	Baldone
Balgales pagasts	Dursupe	Dursupe
Balvu pagasts	Naudaskalns	Naudaskalns
Barkavas pagasts	Barkava	Barkava
Bebrenes pagasts	Bebrene	Bebrene
Bebru pagasts	Vecbebri	Vecbebri
Beļavas pagasts	Beļava	Beļava
Bikstu pagasts	Biksti	Biksti
Bilskas pagasts	Bilska	Bilska
Birzgales pagasts	Birzgale	Birzgale
Biķernieku pagasts	Biķernieki	Biķernieki (Biķernieku pagasts)
Blomes pagasts	Blome	Blome
Blontu pagasts	Blonti	Blonti
Blīdenes pagasts	Blīdene	Blīdene
Brantu pagasts	Vidzeme	Vidzeme (ciems)
Braslavas pagasts	Vilzēni	Vilzēni
Brenguļu pagasts	Brenguļi	Brenguļi
Briežuciema pagasts	Briežuciems	Briežuciems
Brigu pagasts	Brigi	Brigi
